,RF,GB,BAG,ADA,KNN,DT,SVM,MLP,LDA,LSVM
acc_score,0.7696078431372549,0.7352941176470589,0.7647058823529411,0.7549019607843137,0.7107843137254902,0.6617647058823529,0.6911764705882353,0.7450980392156863,0.7647058823529411,0.7647058823529411
f1_score,0.8459016393442623,0.8280254777070064,0.8421052631578947,0.8417721518987342,0.8184615384615385,0.7578947368421053,0.7920792079207921,0.8300653594771242,0.8451612903225807,0.8461538461538461
precision_score,0.8164556962025317,0.7784431137724551,0.8152866242038217,0.7869822485207101,0.7471910112359551,0.782608695652174,0.7692307692307693,0.7987421383647799,0.803680981595092,0.8
recall_score,0.8775510204081632,0.8843537414965986,0.8707482993197279,0.9047619047619048,0.9047619047619048,0.7346938775510204,0.8163265306122449,0.8639455782312925,0.891156462585034,0.8979591836734694
auc_score,0.6843895452918008,0.6176154672395274,0.6809881847475832,0.6365914786967419,0.5576441102756893,0.6041890440386681,0.592373791621912,0.6512710347296813,0.664876476906552,0.6595059076262084
specf_score,0.49122807017543857,0.3508771929824561,0.49122807017543857,0.3684210526315789,0.21052631578947367,0.47368421052631576,0.3684210526315789,0.43859649122807015,0.43859649122807015,0.42105263157894735
